병원명,판매처코드,지체여부,요율
의료법인양평의료재단,10033479,True,0.001
신가병원,10038116,False,
한림대학교춘천성심병원,10035467,False,
미래한국병원,10036735,False,
강영의료재단 문산중앙병원,10021890,False,
(재)아산사회복지재단 (강릉아산병원),10035639,False,
의료법인한마음의료재단여수제일병원,10038606,False,
광주병원,10038047,True,0.001
광주센트럴병원,10047520,True,0.001
광주씨티병원,10037863,True,0.001
의료법인루가의료재단 나은병원,10033875,False,
의료법인 성수의료재단 인천백병원,10032281,False,
빌리브세웅병원,10003837,False,
원주센트럴병원,10019136,False,
용인서울병원,10033733,False,
용인제일메디병원,10070515,False,
강영의료재단 문산중앙병원(추가),10021890,True,0.001
서울아동병원,10092105,False,
동수원병원,10033726,True,0.001
유한회사 마이파트너,10100887,True,0.001
명지성모병원,10017056,False,
천안리턴병원,10070268,True,0.001
빌리브세웅병원(추가),10003837,True,0.001
의료법인한마음의료재단여수제일병원(추가),10038606,True,0.001
비에스종합병원,10046527,False,
대전한국병원,10036320,True,0.001
예산명지병원,10036633,True,0.001
화순성심병원,10037883,True,0.001
메디인병원,10033043,True,0.001
메디인병원(추가),10033043,True,0.001
사랑플러스병원,10035078,True,0.001
순천에스병원,10067520,True,0.001
목포기독병원,10038346,True,0.001
남양주21세기병원,10022281,True,0.001
의료법인 양진의료재단 평택성모병원,10032728,True,0.001
의료법인혜인의료재단한국병원,10069147,True,0.001
화순고려병원,10078174,True,0.001
현대병원,10008171,True,0.001
의료법인 영동의료재단 의정부백병원,10045809,True,0.001
의료법인 은성의료재단 좋은선린병원,10046812,True,0.001
추새로병원,10038792,True,0.001
당진종합병원,10036590,True,0.001
의료법인 온그룹의료재단 온병원,10003599,True,0.001
서울산보람병원,10041740,True,0.001
양주예쓰병원,10032898,True,0.001
의료법인 성수의료재단 인천백병원(추가),10032281,False,
서울성심병원,10034679,True,0.001
신일병원,10044981,True,0.001
추병원,10032935,True,0.001
의료법인 백천의료재단 바로본병원,10039210,True,0.001
서울노보스병원,10034942,True,0.001
센트럴병원,10019136,True,0.001
천안리턴병원(추가),10070268,True,0.001
부산본병원,10040545,True,0.001
수성한미병원,10039242,True,0.001
중앙대학교 광명병원,10074449,True,0.001
의료법인 삼성의료재단 강북삼성병원,10031781,False,
윤호21병원,10038463,True,0.001
동탄시티병원,10060702,True,0.001
서산중앙병원,10036639,True,0.001
의료법인 부평세림병원,10032388,True,0.001
장튼위튼병원,10042063,True,0.001
광주시원병원,10036016,True,0.001
목포중앙병원,10038694,True,0.001
건양대학교 부여병원,10036531,True,0.001
의료법인규웅의료재단,10046731,True,0.001
원광대학교병원,10037680,True,0.001
새천년병원,10040095,True,0.001
신촌연세병원,10031447,True,0.001
아산충무병원,10035968,True,0.001
김해복음병원,10047292,True,0.001
김포우리병원,10039922,True,0.001
의료법인 시영의료재단 영동병원,10047340,True,0.001
동의병원,10040639,True,0.001
부안성모병원,10037788,True,0.001
삼성서울병원,10035113,True,
광주한국병원,10038249,True,0.001
운암한국병원,10002829,True,0.001
녹동현대병원,10008171,True,0.001
의료법인 한양의료재단 남양주한양병원,10014151,True,0.001
새손병원,10061981,True,0.001
씨엠병원,10008739,False,
원주센텀병원,10014653,True,0.001
의료법인 영문의료재단 다보스병원,10034115,False,
동아병원,10038259,True,0.001
의료법인 혜명심의료재단 울산병원,10041141,True,0.001
새통영병원,10041259,True,0.001
연세에스병원,10040990,True,0.001
강영의료재단 문산중앙병원(추가2),10021890,True,0.001
의료법인 청구성심병원,10031830,True,0.001
김해굿모닝병원,10041441,True,0.001
에스포항병원,10014574,True,0.001
의료법인 성수의료재단 비에스종합병원,10032281,False,
광주현대병원,10038000,True,0.001
빌리브세웅병원(추가2),10003837,True,0.001
해븐리병원,10006915,True,0.001
빛가람종합병원,10066681,True,0.001
더퍼스트병원,10086279,True,0.001
한빛병원,10103688,True,0.001
서울대학교병원,10006513,True,
건명의료재단 중앙제일병원,10053087,False,
가은의료재단 혁신성모병원,10081683,False,
뿌리병원,10035927,True,0.001
명인의료재단 화홍병원,10063044,True,0.001
미라클병원,10089241,True,0.001
명지성모병원(추가),10017056,True,0.001
복주회복병원,10096603,True,0.001
하남S병원,10075257,True,0.001
좋은선린병원,10046812,True,0.001
엘병원,10068728,True,0.001
센텀종합병원,10032387,True,0.001
청담해리슨병원,10086968,True,0.001
박철홍정형외과의원,10091292,True,0.001
다니엘병원,10033277,True,0.001
나눔과행복병원,10015909,True,0.001
재천성지병원,10050471,True,0.001
해동병원,10069441,True,0.001
홍익병원,10032062,True,0.001
가톨릭대학교 부천성모병원,10033270,True,0.001
성모윌병원,10032311,True,0.001
가톨릭관동대학교 국제성모병원,10033888,True,0.001
중앙메디컬병원,10087161,True,0.001
거인병원,10082404,True,0.001
전주고려병원,10038671,True,0.001
예수병원,10037576,True,0.001
더필병원,10099847,True,0.001
광주센트럴병원(추가),10019136,True,0.001
더퍼스트병원(추가),10086279,True,0.001
순천에스병원(추가),10067520,True,0.001
한림대학교 동탄성심병원,10033740,False,
대구가톨릭대학교의료원,10039905,False,
가은의료재단 혁신성모병원(추가),10081683,False,
의료법인한마음의료재단여수제일병원(추가2),10038606,True,0.001
좋은삼정병원,10019113,True,0.001
아주대학교의료원,10032609,False,
김포우리병원(추가),10039922,True,0.001
척편한병원,10032163,True,0.001
